role,directory,ordinal,public_event_alias
training,train,1,Train event 01
training,train,2,Train event 02
training,train,3,Train event 03
training,train,4,Train event 04
training,train,5,Train event 05
training,train,6,Train event 06
training,train,7,Train event 07
training,train,8,Train event 08
training,train,9,Train event 09
training,train,10,Train event 10
training,train,11,Train event 11
training,train,12,Train event 12
training,train,13,Train event 13
training,train,14,Train event 14
training,train,15,Train event 15
training,train,16,Train event 16
training,train,17,Train event 17
training,train,18,Train event 18
training,train,19,Train event 19
training,train,20,Train event 20
training,train,21,Train event 21
training,train,22,Train event 22
training,train,23,Train event 23
training,train,24,Train event 24
training,train,25,Train event 25
training,train,26,Train event 26
training,train,27,Train event 27
training,train,28,Train event 28
training,train,29,Train event 29
training,train,30,Train event 30
training,train,31,Train event 31
training,train,32,Train event 32
training,train,33,Train event 33
training,train,34,Train event 34
training,train,35,Train event 35
training,train,36,Train event 36
training,train,37,Train event 37
training,train,38,Train event 38
training,train,39,Train event 39
training,train,40,Train event 40
training,train,41,Train event 41
training,train,42,Train event 42
training,train,43,Train event 43
training,train,44,Train event 44
training,train,45,Train event 45
training,train,46,Train event 46
training,train,47,Train event 47
training,train,48,Train event 48
training,train,49,Train event 49
training,train,50,Train event 50
training,train,51,Train event 51
training,train,52,Train event 52
training,train,53,Train event 53
training,train,54,Train event 54
training,train,55,Train event 55
training,train,56,Train event 56
training,train,57,Train event 57
training,train,58,Train event 58
training,train,59,Train event 59
training,train,60,Train event 60
training,train,61,Train event 61
training,train,62,Train event 62
training,train,63,Train event 63
training,train,64,Train event 64
training,train,65,Train event 65
training,train,66,Train event 66
training,train,67,Train event 67
training,train,68,Train event 68
training,train,69,Train event 69
training,train,70,Train event 70
training,train,71,Train event 71
training,train,72,Train event 72
training,train,73,Train event 73
training,train,74,Train event 74
training,train,75,Train event 75
training,train,76,Train event 76
training,train,77,Train event 77
training,train,78,Train event 78
training,train,79,Train event 79
training,train,80,Train event 80
training,train,81,Train event 81
training,train,82,Train event 82
training,train,83,Train event 83
training,train,84,Train event 84
training,train,85,Train event 85
development,validation,1,Development event 01
development,validation,2,Development event 02
development,validation,3,Development event 03
development,validation,4,Development event 04
development,validation,5,Development event 05
development,validation,6,Development event 06
development,validation,7,Development event 07
development,validation,8,Development event 08
development,validation,9,Development event 09
development,validation,10,Development event 10
development,validation,11,Development event 11
development,validation,12,Development event 12
development,validation,13,Development event 13
development,validation,14,Development event 14
development,validation,15,Development event 15
calibration,calibration,1,Calibration event 01
calibration,calibration,2,Calibration event 02
calibration,calibration,3,Calibration event 03
calibration,calibration,4,Calibration event 04
calibration,calibration,5,Calibration event 05
calibration,calibration,6,Calibration event 06
calibration,calibration,7,Calibration event 07
calibration,calibration,8,Calibration event 08
calibration,calibration,9,Calibration event 09
calibration,calibration,10,Calibration event 10
calibration,calibration,11,Calibration event 11
calibration,calibration,12,Calibration event 12
calibration,calibration,13,Calibration event 13
evaluation,test,1,Evaluation event 01
evaluation,test,2,Evaluation event 02
evaluation,test,3,Evaluation event 03
evaluation,test,4,Evaluation event 04
evaluation,test,5,Evaluation event 05
evaluation,test,6,Evaluation event 06
evaluation,test,7,Evaluation event 07
evaluation,test,8,Evaluation event 08
evaluation,test,9,Evaluation event 09
evaluation,test,10,Evaluation event 10
evaluation,test,11,Evaluation event 11
evaluation,test,12,Evaluation event 12
