event,system,h_rmse_m,nse,wet_rmse_m,wet_nse,peak_depth_abs_error_m,target_ace,target_wis
Event 01,CANO,0.015279799186622521,0.9663392293121161,0.020188807684240685,0.9697420169107559,0.09466321766376495,0.09288217481541972,0.005050866187982139
Event 02,CANO,0.02823760103344428,0.9658049528183279,0.033555360705913535,0.9612556485146005,0.650107574959596,0.11042577520683394,0.021773941797339658
Event 03,CANO,0.017586933170546888,0.9804351318727743,0.021028637671110708,0.9784417002233659,0.49268119037151337,0.06345307732506189,0.010022889839506416
Event 04,CANO,0.021134662457268763,0.9761540093440013,0.02524843128361786,0.9732283382832736,0.5946104576190313,0.03292646081334216,0.013002185772944194
Event 05,CANO,0.015306232249616086,0.9773647302081481,0.018727675360241856,0.9760235530957393,0.15120518455902734,0.04345850383198058,0.008432132169448476
Event 06,CANO,0.015334758417049633,0.9799416745092351,0.018533970977244317,0.9785956540014619,0.24869091560443243,0.05863722035565022,0.00855411381299945
Event 07,CANO,0.033290427065243766,0.9573817139673293,0.039417540595511516,0.951719986411029,0.6688493862748146,0.2219446233097231,0.0295519327862763
Event 08,CANO,0.016770512410133043,0.9811367582892613,0.020059141285688916,0.9793802287990301,0.4448494538664818,0.06662050104310935,0.009460922541604399
Event 09,CANO,0.015377029586990302,0.9742407820632706,0.01911755601259489,0.9730299295470918,0.08031028260787328,0.022605692389139564,0.008127784571130775
Event 10,CANO,0.024243501211735238,0.9718744721292968,0.028896368053451676,0.9682206679242622,0.6279647871851921,0.02138859691486039,0.016409002190703577
Event 11,CANO,0.015340884223097694,0.9680749444765246,0.019863598500164774,0.9693016311005436,0.06561342130104701,0.05562213032010166,0.005439496100519993
Event 12,CANO,0.015752281642289388,0.981277255635517,0.018895181259540386,0.9798209298042418,0.3495112086335818,0.06638575892434428,0.008803928081911867
Event 01,DNO-3,0.01828402901704086,0.9518016061977698,0.024175053877626893,0.9566136080766792,0.03356248885393143,0.04664341761115953,0.009697165149591794
Event 02,DNO-3,0.037401270272702236,0.9400097990437345,0.0439208446067158,0.9336217285491173,0.33518480012814206,0.04748443662649282,0.029614518465030992
Event 03,DNO-3,0.029640168271148667,0.9444277439435423,0.03578177918734443,0.9375811025468542,0.3392249792814255,0.011467923967923954,0.024210365732051042
Event 04,DNO-3,0.03201015203742892,0.945298377123992,0.038106547653091995,0.9390174278931787,0.36029350260893506,0.005156202119252273,0.024985170866101886
Event 05,DNO-3,0.025360563045841333,0.9378606279273886,0.03209733927400589,0.9295704123201917,0.22596425811449686,0.0027186286326502662,0.018874364565949053
Event 06,DNO-3,0.026868421098478652,0.9384220694032194,0.03350363895822146,0.9300562415730372,0.254671111702919,0.014454930662557763,0.02193815739815746
Event 07,DNO-3,0.04159538120485785,0.9334654131650593,0.0485943273142919,0.9266230787351958,0.322864405810833,0.0924314683416696,0.03453270557825192
Event 08,DNO-3,0.029052331339367143,0.9433909792524968,0.0352707061693619,0.9362489301648648,0.32127518951892853,0.015179461128153049,0.02408467069556083
Event 09,DNO-3,0.02354602360153933,0.9396019491377338,0.0302629573915721,0.9324165946244057,0.20169957727193832,0.020512975621559515,0.014606565930170975
Event 10,DNO-3,0.0342618820868071,0.9438263771587463,0.040483225224479696,0.9376253022886962,0.34820180883010227,0.016168800379326664,0.026505173044253486
Event 11,DNO-3,0.019112177026361934,0.9504491401236415,0.025174124112280715,0.9506930451153882,0.10594574858744939,0.043885236921391346,0.010192238897839616
Event 12,DNO-3,0.028037592409663623,0.9406850720386923,0.03446214969342101,0.932875083981139,0.2883906314770381,0.019999136386208094,0.02359364992011685
Event 01,FNO3D,0.020562555366673396,0.9390402845120226,0.025493301772100484,0.9517529451800523,0.11749484886725743,0.015044247787610598,0.00859365368044301
Event 02,FNO3D,0.03767862974536928,0.9391167520759988,0.03518923703199672,0.9573907123276564,0.2408535679181417,0.030440074802757566,0.022837366395694354
Event 03,FNO3D,0.030328916131614963,0.9418150750215627,0.03083645870316772,0.9536423699652672,0.23530495166778564,0.004102472763974241,0.0181476937682646
Event 04,FNO3D,0.03275274841607707,0.9427309161260145,0.031886358570114154,0.9573011302116922,0.25583211580912274,0.0008368792502796429,0.019336289079709527
Event 05,FNO3D,0.02525944296583354,0.9383551761832551,0.02796743335539717,0.9465285077927176,0.13339898735284805,0.017091006976378997,0.0133072286079705
Event 06,FNO3D,0.026749463922808588,0.9389661222923179,0.02895877492491929,0.947745297877101,0.15639051795005798,0.013412899146379997,0.014856163180086089
Event 07,FNO3D,0.04151296345937176,0.933728817312775,0.038707645404146354,0.9534433369933268,0.26700014621019363,0.07132196714515215,0.027179980620239425
Event 08,FNO3D,0.029611020000738755,0.9411928137272288,0.030514337831410002,0.9522836662512502,0.2174852341413498,0.003824142742909098,0.01777940900409582
Event 09,FNO3D,0.02373051298579845,0.9386517714935231,0.026885142633735894,0.9466613489448057,0.11432191481192906,0.014493648099573098,0.011631031415074475
Event 10,FNO3D,0.0348362265120636,0.94192727393257,0.033046696162071294,0.958436286789145,0.24563348790009817,0.011535768121446632,0.020635439210974594
Event 11,FNO3D,0.020991993402159504,0.9402224324415122,0.0251542005409316,0.9507710602940055,0.06759401907523473,0.0008912655971480277,0.008611116611237328
Event 12,FNO3D,0.028195939013735925,0.9400131998213829,0.02980011366413304,0.9498079576948257,0.18504110972086588,0.005950500263296465,0.01668350287468844
Event 01,U-Net3D,0.05643971275375387,0.5407402854034722,0.0784677185887482,0.5429110888569288,0.17833726108074188,0.23300015901501558,0.05849711664839763
Event 02,U-Net3D,0.05452299944566166,0.872512650963549,0.06549502600562036,0.8523949519605087,0.9639719426631927,0.013216431238837423,0.04500282746304362
Event 03,U-Net3D,0.0269699206872978,0.9539895970263894,0.03278330895429739,0.9476040397866564,0.7972932780782381,0.04641874012112168,0.027600738791005823
Event 04,U-Net3D,0.03703750922999471,0.9267667542659828,0.04501693529274358,0.914894352689837,0.90275888890028,0.03847332141945359,0.03273904171227885
Event 05,U-Net3D,0.02488210357742648,0.9401831877686105,0.03020355807757351,0.9376360959358744,0.4468899468580882,0.03557135969141756,0.024316523817703266
Event 06,U-Net3D,0.021596512408268473,0.9602160368694841,0.02574501868604431,0.958699869094506,0.5501910721262296,0.044562364927446696,0.022989421853516465
Event 07,U-Net3D,0.0646275117018622,0.8393827755762004,0.07712296086718155,0.8151771233823213,0.9841502085328102,0.052392626317297575,0.054876236813263514
Event 08,U-Net3D,0.02449312476644804,0.9597642543012885,0.029663503085459265,0.9549075282297368,0.7499467159310976,0.048096011550261664,0.026224233129047723
Event 09,U-Net3D,0.030618305302837493,0.8978707666326557,0.03836315547277842,0.8913959597432959,0.3397231325507164,0.020108638880183882,0.026975551353805256
Event 10,U-Net3D,0.04524100992485778,0.9020567334663205,0.054696328016083,0.8861391065463552,0.937101811170578,0.029647907216323488,0.03798379830523279
Event 11,U-Net3D,0.048213723786257524,0.6846649633544981,0.06499811961402328,0.6712989968078976,0.12497472018003464,0.16439175119231542,0.04486079751032381
Event 12,U-Net3D,0.021532272325474288,0.965016577191394,0.02576534228835029,0.9624793063196073,0.6534403090675672,0.048224521700290346,0.02404772352875692
