benchmark,setting,evidence_role,H_m,miss_to_false_alarm_ratio,loss_name,winner_strategy,winner_code,winner_loss,runner_up_loss_gap,near_tie,n_units,independent_unit,interpretation
UFB,California,development,0.3,2,prevalence-weighted event-macro loss L_prev=(r*FN+FP)/N,local_quantile,Nl,0.0764466439598169,0.0021107406545880364,false,69,rainfall event,descriptive test-event ranking
UFB,California,development,0.3,5,prevalence-weighted event-macro loss L_prev=(r*FN+FP)/N,local_quantile,Nl,0.0848386641240389,0.0021365864585217442,false,69,rainfall event,descriptive test-event ranking
UFB,California,development,0.3,10,prevalence-weighted event-macro loss L_prev=(r*FN+FP)/N,local_quantile,Nl,0.09882536439774221,0.002179662798411322,false,69,rainfall event,descriptive test-event ranking
UFB,California,development,0.3,20,prevalence-weighted event-macro loss L_prev=(r*FN+FP)/N,local_quantile,Nl,0.12679876494514883,0.0022658154781904916,false,69,rainfall event,descriptive test-event ranking
UFB,California,development,0.3,50,prevalence-weighted event-macro loss L_prev=(r*FN+FP)/N,severity_norm,Ts,0.1768647092028667,0.03385425738450201,false,69,rainfall event,descriptive test-event ranking
UFB,California,development,0.3,100,prevalence-weighted event-macro loss L_prev=(r*FN+FP)/N,severity_norm,Ts,0.25284762699935087,0.09773834232505108,false,69,rainfall event,descriptive test-event ranking
UFB,California,development,0.5,2,prevalence-weighted event-macro loss L_prev=(r*FN+FP)/N,lead,Ld,0.047088807306046906,0.000007116960503490699,true,69,rainfall event,descriptive test-event ranking
UFB,California,development,0.5,5,prevalence-weighted event-macro loss L_prev=(r*FN+FP)/N,local_quantile,Nl,0.054377698592227755,0.000005244076160468292,true,69,rainfall event,descriptive test-event ranking
UFB,California,development,0.5,10,prevalence-weighted event-macro loss L_prev=(r*FN+FP)/N,local_quantile,Nl,0.06213331265669019,0.0009828897032190045,false,69,rainfall event,descriptive test-event ranking
UFB,California,development,0.5,20,prevalence-weighted event-macro loss L_prev=(r*FN+FP)/N,local_quantile,Nl,0.07764454078561506,0.0006158043719863004,false,69,rainfall event,descriptive test-event ranking
